Job_Area,Job_Title,URL
Data Center Site Services,"Operations Program Manager, Data Center",https://www.facebook.com/careers/jobs/2444045742507741/
G&A,Executive Assistant,https://www.facebook.com/careers/jobs/2392533977690324/
Enterprise Engineering,Enterprise Engineering Manager,https://www.facebook.com/careers/jobs/2305991183013481/
Finance,"Director of Treasury Operations, EMEA & APAC",https://www.facebook.com/careers/jobs/334066744188710/
Engineering,Enterprise Product Manager,https://www.facebook.com/careers/jobs/505458366896157/
Community Operations,"Global Quality Manager, Customer Operations, WhatsApp",https://www.facebook.com/careers/jobs/351848645491440/
Global Business Marketing,"SBG Marketing, Regional Program Lead - DACH & Central Europe",https://www.facebook.com/careers/jobs/480088089229527/
HR,"Technical Sourcer, Software Engineering (Dublin)",https://www.facebook.com/careers/jobs/2325496314194025/
Sales & Marketing,Sales Program Manager,https://www.facebook.com/careers/jobs/663835557379324/
Community Operations,"Manager, Market Operations, LATAM",https://www.facebook.com/careers/jobs/399706007291951/
Customer Operations,Trust & Safety Specialist (Spam),https://www.facebook.com/careers/jobs/2381810965243826/
Media Operations,"Manager, Tooling Solutions, Media Operations",https://www.facebook.com/careers/jobs/715994352155163/
Community Operations,"Market Specialist, Market Operations, India (Marathi)",https://www.facebook.com/careers/jobs/746269302494189/
Online Operations,"Manager, Market Operations, Sub-Saharan Africa",https://www.facebook.com/careers/jobs/375649406270243/
Community Operations,"Market Specialist, Market Operations, Sub-Saharan Africa (Tigrinya)",https://www.facebook.com/careers/jobs/2501494386549110/
Developer Operations,Developer Support Engineer,https://www.facebook.com/careers/jobs/1964669886914580/
Legal,Quality Assurance Manager,https://www.facebook.com/careers/jobs/2220039171610965/
GMS Operations,"Business Planning & Operations Manager, EMEA",https://www.facebook.com/careers/jobs/2372388772996467/
Online Operations,"Data Analyst, Trust and Safety Ops",https://www.facebook.com/careers/jobs/2214948235225502/
Communications & Public Policy,"Policy Manager, Spectrum",https://www.facebook.com/careers/jobs/1348129325325792/
Data Center Design and Construction,Construction Project Manager,https://www.facebook.com/careers/jobs/1763086803836546/
Legal,"Employment Counsel, EMEA",https://www.facebook.com/careers/jobs/341323036562370/
Community Operations,"Project Manager, Platform Process",https://www.facebook.com/careers/jobs/1302667173227713/
Infrastructure,Production Engineer,https://www.facebook.com/careers/jobs/364715544320301/
Finance,International Tax Manager,https://www.facebook.com/careers/jobs/1184623495050756/
Business Development & Partnerships,"Technical Partner Manager, Marketing Partner Program",https://www.facebook.com/careers/jobs/419748795293109/
Infrastructure,Automation Engineer,https://www.facebook.com/careers/jobs/419938465214109/
Communications & Public Policy,"Director, Office of Data Protection",https://www.facebook.com/careers/jobs/327379274603052/
Community Operations,"Manager, Tools & Automation, WhatsApp (Dublin/London)",https://www.facebook.com/careers/jobs/504431836988159/
Global Gaming,Head of Real Money Gaming,https://www.facebook.com/careers/jobs/387935968656001/
